"mid","sex","level"
"2","1","6"
"4","-1","5"
"9","0","6"
"10","-1","5"
"12","-1","6"
"14","0","4"
"17","-1","5"
"18","-1","5"
"19","-1","6"
"20","-1","6"
"26","1","4"
"32","1","5"
"35","1","5"
"38","1","6"
"46","-1","5"
"60","-1","5"
"61","-1","5"
"64","-1","5"
"65","1","6"
"70","-1","5"
"71","-1","6"
"75","1","6"
"96","-1","5"
"97","-1","6"
"101","-1","5"
"102","1","6"
"104","1","4"
"108","-1","5"
"109","1","6"
"112","-1","5"
"115","-1","6"
"116","-1","4"
"129","1","6"
"130","-1","5"
"131","0","5"
"132","-1","3"
"136","-1","6"
"139","-1","5"
"146","-1","5"
"153","-1","5"
"159","1","6"
"160","0","6"
"166","-1","5"
"173","-1","5"
"176","1","5"
"178","-1","4"
"184","-1","5"
"188","-1","6"
"189","-1","5"
"191","-1","6"
"196","-1","6"
"197","-1","6"
"201","-1","5"
"209","-1","4"
"211","1","5"
"212","-1","5"
"220","-1","5"
"223","-1","5"
"230","-1","6"
"232","-1","4"
"243","-1","6"
"248","-1","5"
"249","-1","5"
"252","-1","2"
"255","-1","5"
"260","-1","5"
"261","-1","5"
"276","-1","5"
"281","-1","6"
"283","-1","4"
"286","0","5"
"287","0","6"
"293","-1","5"
"301","-1","5"
"310","-1","6"
"311","-1","5"
"312","-1","5"
"329","-1","5"
"332","-1","4"
"335","-1","5"
"336","-1","5"
"338","-1","5"
"342","-1","5"
"345","-1","5"
"348","-1","6"
"350","-1","5"
"352","-1","6"
"355","-1","5"
"362","-1","6"
"364","-1","5"
"366","-1","5"
"369","-1","4"
"372","-1","5"
"375","1","3"
"380","-1","5"
"381","0","6"
"386","-1","4"
"388","-1","5"
"389","-1","5"
"398","-1","5"
"409","-1","6"
"412","-1","6"
"414","-1","6"
"429","-1","6"
"436","-1","6"
"439","1","5"
"440","-1","5"
"450","-1","5"
"455","1","3"
"456","-1","5"
"457","-1","5"
"461","-1","3"
"466","-1","5"
"475","1","5"
"476","-1","5"
"479","-1","5"
"482","1","6"
"509","-1","6"
"513","-1","5"
"524","-1","5"
"525","1","5"
"530","-1","6"
"534","-1","6"
"544","-1","5"
"547","1","5"
"562","-1","6"
"565","-1","5"
"572","-1","5"
"574","-1","6"
"584","-1","5"
"598","-1","5"
"607","-1","6"
"611","1","5"
"624","-1","5"
"630","-1","5"
"636","0","4"
"645","-1","6"
"647","1","6"
"649","-1","5"
"653","1","6"
"659","-1","5"
"660","-1","5"
"666","-1","5"
"667","-1","5"
"669","1","5"
"670","-1","5"
"683","1","5"
"689","1","5"
"690","1","5"
"696","-1","5"
"699","1","5"
"714","-1","5"
"717","-1","5"
"720","-1","5"
"722","-1","6"
"726","1","5"
"735","1","6"
"739","1","6"
"744","-1","5"
"745","-1","5"
"760","-1","5"
"768","-1","5"
"771","-1","5"
"772","1","4"
"775","-1","6"
"782","-1","5"
"789","0","5"
"798","-1","5"
"799","1","4"
"806","-1","5"
"808","-1","4"
"817","-1","5"
"825","-1","5"
"827","-1","6"
"828","-1","5"
"833","-1","5"
"836","-1","6"
"838","-1","6"
"839","-1","6"
"842","-1","5"
"848","-1","5"
"849","-1","5"
"863","-1","6"
"871","-1","3"
"886","-1","5"
"889","-1","5"
"890","-1","5"
"894","-1","5"
"896","-1","6"
"899","1","5"
"917","1","6"
"925","1","5"
"926","-1","6"
"927","-1","5"
"934","-1","5"
"940","-1","5"
"941","-1","5"
"942","-1","4"
"944","-1","6"
"948","-1","4"
"956","0","5"
"974","-1","5"
"984","-1","5"
"989","-1","6"
"990","-1","5"
"995","-1","6"
"996","-1","5"
"1008","-1","5"
"1018","-1","5"
"1058","-1","5"
"1068","-1","5"
"1084","-1","6"
"1089","-1","6"
"1094","-1","5"
"1098","1","5"
"1101","-1","6"
"1104","-1","4"
"1118","-1","5"
"1122","-1","6"
"1123","-1","5"
"1132","-1","2"
"1143","1","5"
"1174","-1","4"
"1176","-1","5"
"1183","-1","6"
"1186","-1","5"
"1187","-1","6"
"1191","-1","5"
"1212","-1","5"
"1221","-1","5"
"1230","-1","6"
"1236","-1","5"
"1241","-1","5"
"1256","-1","5"
"1268","0","5"
"1270","-1","5"
"1271","-1","5"
"1273","-1","5"
"1274","-1","4"
"1290","-1","5"
"1291","1","5"
"1298","0","5"
"1302","1","5"
"1307","-1","5"
"1309","-1","5"
"1311","-1","5"
"1313","-1","5"
"1315","-1","5"
"1323","-1","6"
"1327","-1","6"
"1328","-1","6"
"1329","-1","5"
"1330","-1","5"
"1334","-1","6"
"1341","-1","5"
"1346","-1","6"
"1348","-1","6"
"1356","-1","5"
"1376","-1","5"
"1384","-1","5"
"1387","1","2"
"1390","-1","6"
"1392","1","6"
"1395","-1","5"
"1396","-1","5"
"1407","-1","5"
"1409","-1","6"
"1413","-1","5"
"1417","-1","6"
"1419","-1","5"
"1420","-1","5"
"1421","1","5"
"1422","-1","5"
"1424","-1","6"
"1434","-1","6"
"1439","-1","5"
"1442","1","5"
"1443","-1","4"
"1444","-1","5"
"1454","-1","6"
"1456","-1","6"
"1458","0","5"
"1467","-1","4"
"1469","-1","5"
"1473","-1","5"
"1479","-1","5"
"1486","-1","5"
"1489","-1","5"
"1490","1","5"
"1499","-1","5"
"1503","-1","6"
"1504","0","6"
"1506","-1","5"
"1513","-1","5"
"1516","1","6"
"1529","-1","5"
"1540","-1","5"
"1554","-1","5"
"1555","-1","6"
"1566","-1","6"
"1569","-1","3"
"1570","-1","4"
"1577","1","5"
"1578","-1","5"
"1582","-1","5"
"1606","-1","5"
"1607","0","5"
"1612","1","5"
"1613","-1","5"
"1618","1","5"
"1622","-1","5"
"1624","-1","5"
"1629","-1","6"
"1634","-1","6"
"1637","-1","6"
"1638","-1","5"
"1655","1","6"
"1658","-1","5"
"1666","-1","5"
"1667","-1","5"
"1682","-1","5"
"1688","-1","4"
"1692","1","5"
"1711","-1","4"
"1713","-1","5"
"1718","-1","5"
"1721","-1","5"
"1735","-1","4"
"1744","-1","5"
"1745","-1","5"
"1764","-1","5"
"1766","-1","5"
"1776","-1","5"
"1782","-1","5"
"1785","0","4"
"1799","-1","5"
"1805","-1","5"
"1808","-1","5"
"1809","-1","5"
"1817","-1","5"
"1819","-1","5"
"1838","-1","5"
"1839","-1","5"
"1845","-1","5"
"1846","0","6"
"1847","-1","5"
"1852","-1","3"
"1855","-1","5"
"1857","-1","3"
"1868","-1","5"
"1872","-1","5"
"1877","-1","5"
"1887","-1","5"
"1893","-1","5"
"1894","-1","6"
"1899","-1","5"
"1905","-1","5"
"1911","1","5"
"1934","-1","4"
"1939","-1","3"
"1940","-1","5"
"1951","-1","5"
"1954","-1","5"
"1960","-1","5"
"1962","-1","5"
"1967","1","5"
"1976","-1","5"
"1985","-1","5"
"1991","-1","6"
"1994","-1","4"
"1998","1","5"
"1999","0","5"
"2000","-1","5"
"2001","-1","5"
"2005","-1","6"
"2010","-1","3"
"2020","-1","6"
"2023","-1","5"
"2031","-1","5"
"2039","-1","5"
"2047","-1","5"
"2055","-1","5"
"2057","-1","4"
